Ticker,Horizon,Model_group,Rank,Feature
BTC,1d,XGB_LSTM,1,Vol_of_vol
BTC,1d,XGB_LSTM,2,Return_1d
BTC,1d,XGB_LSTM,3,Vol_rel
BTC,1d,XGB_LSTM,4,BB_Width
BTC,1d,XGB_LSTM,5,Day_Range
BTC,1d,XGB_LSTM,6,Vol_ratio_5_20
BTC,1d,XGB_LSTM,7,Momentum_10
BTC,1d,XGB_LSTM,8,ATR_rel
BTC,1d,XGB_LSTM,9,Garman_Klass_vol
BTC,1d,XGB_LSTM,10,Price_vs_SMA20
BTC,1d,XGB_LSTM,11,MACD_Signal
BTC,1d,XGB_LSTM,12,Price_vs_SMA200
BTC,1d,XGB_LSTM,13,Vol_zscore_60
BTC,1d,XGB_LSTM,14,Volume_vol_ratio
BTC,1d,XGB_LSTM,15,MACD_Hist
BTC,1d,XGB_LSTM,16,Parkinson_vol
AAPL,5d,XGB_LSTM,1,Day_Range
AAPL,5d,XGB_LSTM,2,Return_10d
AAPL,5d,XGB_LSTM,3,Price_vs_SMA200
AAPL,5d,XGB_LSTM,4,Vol_zscore_60
AAPL,5d,XGB_LSTM,5,Return_5d_lag1
AAPL,5d,XGB_LSTM,6,RSI_5d
AAPL,5d,XGB_LSTM,7,VIX_Return_1d
AAPL,5d,XGB_LSTM,8,Vol_mean_5d
AAPL,5d,XGB_LSTM,9,Return_20d
AAPL,5d,XGB_LSTM,10,VIX_Close
AAPL,5d,XGB_LSTM,11,Vol_rel
AAPL,5d,XGB_LSTM,12,VIX_vs_SMA20
AAPL,5d,XGB_LSTM,13,Return_1d
JPM,5d,XGB_LSTM,1,Vol_rel
JPM,5d,XGB_LSTM,2,RSI_5d
JPM,5d,XGB_LSTM,3,Vol_mean_5d
JPM,5d,XGB_LSTM,4,MACD_Hist
JPM,5d,XGB_LSTM,5,Vol_20d
JPM,5d,XGB_LSTM,6,Return_5d_lag1
JPM,5d,XGB_LSTM,7,Day_Range
JPM,5d,XGB_LSTM,8,Momentum_5
JNJ,5d,XGB_LSTM,1,Vol_mean_5d
JNJ,5d,XGB_LSTM,2,Price_vs_SMA50
JNJ,5d,XGB_LSTM,3,MACD_Signal
JNJ,5d,XGB_LSTM,4,Return_5d
JNJ,5d,XGB_LSTM,5,Momentum_5d
JNJ,5d,XGB_LSTM,6,Momentum_5
JNJ,5d,XGB_LSTM,7,BB_Position
JNJ,5d,XGB_LSTM,8,RSI_5d
XOM,5d,XGB_LSTM,1,Vol_percentile_60
XOM,5d,XGB_LSTM,2,Vol_20d
XOM,5d,XGB_LSTM,3,ATR_rel
XOM,5d,XGB_LSTM,4,Vol_of_vol
XOM,5d,XGB_LSTM,5,Volume_vol_ratio
XOM,5d,XGB_LSTM,6,MACD_Hist
XOM,5d,XGB_LSTM,7,RSI_5d
XOM,5d,XGB_LSTM,8,VIX_Return_1d
XOM,5d,XGB_LSTM,9,Return_1d
BTC,5d,XGB_LSTM,1,Return_1d
BTC,5d,XGB_LSTM,2,BB_Width
BTC,5d,XGB_LSTM,3,Return_20d
BTC,5d,XGB_LSTM,4,RSI_5d
BTC,5d,XGB_LSTM,5,Day_Range
BTC,5d,XGB_LSTM,6,ATR_rel
BTC,5d,XGB_LSTM,7,Momentum_5
BTC,5d,XGB_LSTM,8,Return_5d_lag1
