Model,Ticker,Horizon,RMSE,RMSE_CI_low,RMSE_CI_high,MAE,R2,DA,DA_CI_low,DA_CI_high
Transformer,AAPL,1d,0.018540401306007575,0.01594182496880636,0.021496183248423752,0.012669439272944632,-0.1080195535684687,0.5155038759689923,0.4747832418694616,0.560077519379845
Transformer,JPM,1d,0.016576516149970938,0.014608951397454046,0.018762023051006674,0.01147107615893354,-0.11128332399318341,0.49902152641878667,0.4568627450980392,0.5429953140288649
Transformer,JNJ,1d,0.012890389657975695,0.011597076110170086,0.01425725676672272,0.00940481072619371,-0.3495413116075876,0.48336594911937375,0.44031311154598823,0.5244618395303327
Transformer,XOM,1d,0.016525276345594333,0.015127107209269939,0.01799270308882981,0.012303090320595761,-0.40170136737922113,0.5135135135135135,0.4747857574942869,0.5568400770712909
Transformer,BTC,1d,0.02993627232480372,0.02780736410526459,0.03258582779753218,0.02230523430940855,-0.4171369321744247,0.4883720930232558,0.45348837209302323,0.524547803617571
Transformer,AAPL,5d,0.04654923311733441,0.04278672547546105,0.0504359341663496,0.03589634684560852,-0.30770700719626487,0.48936170212765956,0.44680851063829785,0.5299806576402321
Transformer,JPM,5d,0.03792928817885258,0.03491651148813377,0.04097119708820934,0.02921825587797358,-0.2483716307681585,0.564453125,0.5234375,0.60546875
Transformer,JNJ,5d,0.0263875148053015,0.02455981298378838,0.028135562899557792,0.020875849883333252,-0.2568588316244689,0.49902152641878667,0.45596868884540115,0.5420743639921722
Transformer,XOM,5d,0.03735607864251844,0.03447841944485076,0.040318577571117405,0.02924523530742696,-0.3822481037417751,0.525911708253359,0.4817658349328215,0.5700575815738963
Transformer,BTC,5d,0.06815457697095728,0.06431032568257364,0.0717932753695641,0.053989248386561495,-0.6221947474334795,0.5167958656330749,0.4844961240310077,0.5516795865633075
