name,units1,units2,dropout,rec_dropout,l2,seq_len,batch_size,lr,optimizer,loss,epochs,patience,RMSE,MAE,R2,DA,n_params,train_loss,val_loss,train_time_s,Horizon
combo_units8_l2,8,0,0.2,0.0,0.001,10,32,0.001,adam,mse,20,10,0.017727848450175242,0.011758354856325535,-0.013027476699565721,0.562862669245648,1289,0.9592342972755432,0.46642717719078064,17.369608879089355,1d
combo_low_lr_huber,32,0,0.3,0.0,0.0,10,32,0.0005,adam,huber,22,15,0.017985573291265433,0.012081349462487756,-0.04269606671152104,0.4564796905222437,8225,0.34522098302841187,0.19907690584659576,19.464938163757324,1d
combo_seq5_units32,32,0,0.2,0.0,0.0,5,32,0.001,adam,mse,12,10,0.01819937397682901,0.012402881666589524,-0.06763318134751395,0.4951644100580271,8225,0.9008322954177856,0.42657607793807983,10.281253576278687,1d
combo_big_batch_lr,32,0,0.3,0.0,0.0,10,128,0.003,adam,mse,13,10,0.018126341742657676,0.012287742130696439,-0.05908176738235649,0.4796905222437137,8225,0.8454191088676453,0.44299519062042236,9.771635293960571,1d
combo_minimal,4,0,0.0,0.0,0.0,5,32,0.001,adam,mse,28,10,0.01800388348852163,0.012415570480675693,-0.04482017903560176,0.48936170212765956,581,0.8978238105773926,0.4507777988910675,18.837270736694336,1d
combo_2c_small,16,8,0.2,0.1,0.0,10,32,0.001,adam,mse,13,10,0.017625640434033474,0.011770012778349407,-0.00138014612410009,0.5145067698259188,3881,0.9737980961799622,0.4547019600868225,32.21054816246033,1d
baseline,16,0,0.3,0.0,0.0,10,32,0.001,adam,mse,17,10,0.04370367353143954,0.03300395856208017,-0.15271322667049225,0.48549323017408125,3409,0.5445790886878967,0.6025490760803223,15.812765121459961,5d
arch_units1_4,4,0,0.3,0.0,0.0,10,32,0.001,adam,mse,16,10,0.041233815294826934,0.030318351598332762,-0.026106484602229862,0.5338491295938105,661,0.8541393876075745,0.6091533303260803,15.012959480285645,5d
arch_units1_8,8,0,0.3,0.0,0.0,10,32,0.001,adam,mse,16,10,0.041747684593148475,0.031004727721216072,-0.05184119831625389,0.4758220502901354,1449,0.8069719076156616,0.5881248116493225,14.978699445724487,5d
arch_units1_32,32,0,0.3,0.0,0.0,10,32,0.001,adam,mse,12,10,0.04167884096084793,0.030735979966325114,-0.04837500066898448,0.5531914893617021,8865,0.4553496837615967,0.569736897945404,13.202579259872437,5d
