name,RMSE_mean,RMSE_std,DA_mean,DA_std,rmses,das,Horizon
recdrop_0.1,0.017905017348822376,0.0002470222073976371,0.5112830431979368,0.03244292875669666,"[0.01770601122689698, 0.01782755319947547, 0.018181487620094673]","[0.528046421663443, 0.5319148936170213, 0.4738878143133462]",1d
arch_2c_32_16,0.017752104582857826,8.579820162492656e-05,0.49065119277885233,0.028185032874783206,"[0.017716382260793487, 0.017849992415580253, 0.017689939072199738]","[0.5029013539651838, 0.4584139264990329, 0.5106382978723404]",1d
combo_long_seq,0.01784061365117625,0.0001817631031399807,0.49967762733720184,0.012584926689840839,"[0.01770679351392192, 0.017767498886962954, 0.01804754855264388]","[0.4874274661508704, 0.4990328820116054, 0.5125725338491296]",1d
combo_huber_drop,0.04151700616655719,0.0002521848646347863,0.5312701482914249,0.024491837412279255,"[0.04178769273055604, 0.04147463489111744, 0.041288690877998066]","[0.504835589941973, 0.5357833655705996, 0.5531914893617021]",5d
drop_0.2,0.04101165433696883,0.0010893115625161159,0.5370728562217923,0.02339812677192012,"[0.0409772723095887, 0.04211774988613307, 0.039939940815184725]","[0.5551257253384912, 0.5106382978723404, 0.5454545454545454]",5d
combo_minimal,0.04243844437336325,0.0010316416112877418,0.5067698259187621,0.01394797398632106,"[0.041250052555763986, 0.04310390093075454, 0.042961379633571224]","[0.5183752417794971, 0.5106382978723404, 0.4912959381044487]",5d
