Model,Ticker,Horizon,RMSE,RMSE_CI_low,RMSE_CI_high,MAE,R2,DA,DA_CI_low,DA_CI_high
ARIMA (sin leakage),AAPL,5d,0.040778073240385744,0.0365470729244637,0.04545917622598823,0.03033493391326874,-0.003549486223368481,0.5454545454545454,0.5028529980657641,0.5861218568665376
ARIMA (sin leakage),JPM,5d,0.034084119473374745,0.0313103453021436,0.03700863899140745,0.025597325596956585,-0.008088508141140371,0.611328125,0.56640625,0.652392578125
ARIMA (sin leakage),JNJ,5d,0.023780603656714777,0.022162661384704706,0.02543415808846292,0.018601211521027332,-0.02078732930797189,0.5166340508806262,0.4735812133072407,0.561692759295499
ARIMA (sin leakage),XOM,5d,0.03198546464592554,0.02919188223267371,0.034933822301885735,0.025051157578869887,-0.013371693060927337,0.5758157389635317,0.5355086372360844,0.6161228406909789
ARIMA (sin leakage),BTC,5d,0.05512736635564487,0.052031488957227284,0.05820334121979691,0.042164444528271866,-0.06132263833013174,0.5051679586563308,0.4715762273901809,0.541343669250646
